rank,title,imageUrl,year,id
1,The Shawshank Redemption,9O7gLzmreU0nGkIB6K3BsJbzvNv.jpg,1994,tt0111161
2,The Godfather,rPdtLWNsZmAtoZl9PK7S2wE3qiS.jpg,1972,tt0068646
3,The Godfather: Part II,bVq65huQ8vHDd1a4Z37QtuyEvpA.jpg,1974,tt0071562
4,The Dark Knight,1hRoyzDtpgMU7Dz4JF22RANzQO7.jpg,2008,tt0468569
5,12 Angry Men,3W0v956XxSG5xgm7LB6qu8ExYJ2.jpg,1957,tt0050083
6,Schindler's List,yPisjyLweCl1tbgwgtzBCNCBle.jpg,1993,tt0108052
7,The Lord of the Rings: The Return of the King,rCzpDGLbOoPwLjy3OAm5NUPOTrC.jpg,2003,tt0167260
8,Pulp Fiction,dM2w364MScsjFf8pfMbaWUcWrR.jpg,1994,tt0110912
9,"The Good, the Bad and the Ugly",v6TUio0GgIsK9pbW7FfFArbyECb.jpg,1966,tt0060196
10,Fight Club,adw6Lq9FiC9zjYEpOqfq03ituwp.jpg,1999,tt0137523
11,The Lord of the Rings: The Fellowship of the Ring,bxVxZb5O9OxCO0oRUNdCnpy9NST.jpg,2001,tt0120737
12,Forrest Gump,yE5d3BUhE8hCnkMUJOo1QDoOGNz.jpg,1994,tt0109830
13,Star Wars: Episode V - The Empire Strikes Back,6u1fYtxG5eqjhtCPDx04pJphQRW.jpg,1980,tt0080684
14,Inception,qmDpIHrmpJINaRKAfWQfftjCdyi.jpg,2010,tt1375666
15,The Lord of the Rings: The Two Towers,5VTN0pR8gcqV3EPUHHfMGnJYN9L.jpg,2002,tt0167261
16,One Flew Over the Cuckoo's Nest,2Sns5oMb356JNdBHgBETjIpRYy9.jpg,1975,tt0073486
17,Goodfellas,hAPeXBdGDGmXRPj4OZZ0poH65Iu.jpg,1990,tt0099685
18,Avengers: Infinity War,7WsyChQLEftFiDOVTGkv3hFpyyt.jpg,2018,tt4154756
19,The Matrix,hEpWvX6Bp79eLxY1kX5ZZJcme5U.jpg,1999,tt0133093
20,Seven Samurai,v6xrz4fr92KY1oNC3HsEvrsvR1n.jpg,1954,tt0047478
21,City of God,gCqnQaq8T4CfioP9uETLx9iMJF4.jpg,2002,tt0317248
22,Star Wars: Episode IV - A New Hope,btTdmkgIvOi0FFip1sPuZI2oQG6.jpg,1977,tt0076759
